head	tail	transtime
POTRF0 --> TRSM0 130306400
POTRF0 --> TRSM7 125544950
POTRF0 --> TRSM14 48003193
POTRF0 --> TRSM21 46454177
POTRF0 --> TRSM28 17051975
POTRF0 --> TRSM35 560290
POTRF0 --> TRSM42 43305
TRSM42 --> SYRK42 44215
TRSM42 --> GEMM180 128099722
TRSM42 --> GEMM150 123492510
TRSM42 --> GEMM120 46095718
TRSM42 --> GEMM90 44323826
TRSM42 --> GEMM60 15259920
TRSM42 --> GEMM30 344357
TRSM35 --> SYRK35 14712427
TRSM35 --> GEMM30 40416
TRSM35 --> GEMM144 142319019
TRSM35 --> GEMM114 137886686
TRSM35 --> GEMM84 84801009
TRSM35 --> GEMM54 58726305
TRSM35 --> GEMM24 22087520
SYRK42 --> SYRK36 222734048
GEMM30 --> GEMM25 252345558
TRSM28 --> SYRK28 15802717
TRSM28 --> GEMM24 7168430
TRSM28 --> GEMM60 36889
TRSM28 --> GEMM108 141863394
TRSM28 --> GEMM78 137686687
TRSM28 --> GEMM48 83627065
TRSM28 --> GEMM18 58406650
SYRK35 --> SYRK29 437024299
GEMM60 --> GEMM55 268533780
GEMM24 --> GEMM19 291691054
SYRK28 --> SYRK22 319123933
TRSM21 --> SYRK21 47202128
TRSM21 --> GEMM18 29351876
TRSM21 --> GEMM54 14752441
TRSM21 --> GEMM90 46021
TRSM21 --> GEMM72 127299270
TRSM21 --> GEMM42 123279506
TRSM21 --> GEMM12 56958048
TRSM14 --> SYRK14 67274236
TRSM14 --> GEMM12 55178327
TRSM14 --> GEMM48 52792570
TRSM14 --> GEMM84 39047424
TRSM14 --> GEMM120 38192
TRSM14 --> GEMM36 140642552
TRSM14 --> GEMM6 136209093
GEMM90 --> GEMM85 267744920
GEMM54 --> GEMM49 282502729
GEMM120 --> GEMM115 316254896
GEMM18 --> GEMM13 280864211
SYRK21 --> SYRK15 375283005
GEMM84 --> GEMM79 313945476
GEMM48 --> GEMM43 317088779
GEMM12 --> GEMM7 328730150
SYRK14 --> SYRK8 353577364
TRSM7 --> SYRK7 76973322
TRSM7 --> GEMM6 58873819
TRSM7 --> GEMM42 44164511
TRSM7 --> GEMM78 29516918
TRSM7 --> GEMM114 14797827
TRSM7 --> GEMM150 99710
TRSM7 --> GEMM0 82736830
TRSM0 --> SYRK0 82892139
TRSM0 --> GEMM0 78066722
TRSM0 --> GEMM36 58637170
TRSM0 --> GEMM72 43514167
TRSM0 --> GEMM108 29023517
TRSM0 --> GEMM144 14560052
TRSM0 --> GEMM180 36814
GEMM150 --> GEMM145 93074992
GEMM180 --> TRSM36 80113384
GEMM114 --> GEMM109 92261512
GEMM144 --> TRSM29 80578051
GEMM78 --> GEMM73 110045735
GEMM108 --> TRSM22 98622456
GEMM42 --> GEMM37 122173969
GEMM72 --> TRSM15 110134974
GEMM6 --> GEMM1 192707825
GEMM36 --> TRSM8 179384847
SYRK7 --> SYRK1 34763332
SYRK0 --> POTRF1 18204
POTRF1 --> TRSM1 1207384
POTRF1 --> TRSM8 162812468
POTRF1 --> TRSM15 74127832
POTRF1 --> TRSM22 47505953
POTRF1 --> TRSM29 14972420
POTRF1 --> TRSM36 40061
GEMM0 --> TRSM1 18891
